Paso,Variable,Motivo_de_eliminacion
0,SWANID,Eliminada por no pertenecer al set preliminar seleccionado
0,VISIT,Eliminada por no pertenecer al set preliminar seleccionado
0,INTDAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,LANGINT5,Eliminada por no pertenecer al set preliminar seleccionado
0,PREGNAN5,Eliminada por no pertenecer al set preliminar seleccionado
0,PREVBLO5,Eliminada por no pertenecer al set preliminar seleccionado
0,EATDRIN5,Eliminada por no pertenecer al set preliminar seleccionado
0,STRTPER5,Eliminada por no pertenecer al set preliminar seleccionado
0,DAYBLE5,Eliminada por no pertenecer al set preliminar seleccionado
0,BLDRWAT5,Eliminada por no pertenecer al set preliminar seleccionado
0,BLDDRAW5,Eliminada por no pertenecer al set preliminar seleccionado
0,SPEDAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,ANTICO15,Eliminada por no pertenecer al set preliminar seleccionado
0,ACOATW15,Eliminada por no pertenecer al set preliminar seleccionado
0,ANTICO25,Eliminada por no pertenecer al set preliminar seleccionado
0,ACOATW25,Eliminada por no pertenecer al set preliminar seleccionado
0,HEART15,Eliminada por no pertenecer al set preliminar seleccionado
0,HARTTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,HEART25,Eliminada por no pertenecer al set preliminar seleccionado
0,HARTTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,CHOLST15,Eliminada por no pertenecer al set preliminar seleccionado
0,CHOLTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,CHOLST25,Eliminada por no pertenecer al set preliminar seleccionado
0,CHOLTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,BP15,Eliminada por no pertenecer al set preliminar seleccionado
0,BPTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,BP25,Eliminada por no pertenecer al set preliminar seleccionado
0,BPTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,DIURET15,Eliminada por no pertenecer al set preliminar seleccionado
0,DIURTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,DIURET25,Eliminada por no pertenecer al set preliminar seleccionado
0,DIURTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,THYROI15,Eliminada por no pertenecer al set preliminar seleccionado
0,THYRTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,THYROI25,Eliminada por no pertenecer al set preliminar seleccionado
0,THYRTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,INSULN15,Eliminada por no pertenecer al set preliminar seleccionado
0,INSUTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,INSULN25,Eliminada por no pertenecer al set preliminar seleccionado
0,INSUTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,NERVS15,Eliminada por no pertenecer al set preliminar seleccionado
0,NERVTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,NERVS25,Eliminada por no pertenecer al set preliminar seleccionado
0,NERVTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,STEROI15,Eliminada por no pertenecer al set preliminar seleccionado
0,STERTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,STEROI25,Eliminada por no pertenecer al set preliminar seleccionado
0,STERTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,FERTIL15,Eliminada por no pertenecer al set preliminar seleccionado
0,FRTLTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,FERTIL25,Eliminada por no pertenecer al set preliminar seleccionado
0,FRTLTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,BCP15,Eliminada por no pertenecer al set preliminar seleccionado
0,BCPTWI15,Eliminada por no pertenecer al set preliminar seleccionado
0,BCP25,Eliminada por no pertenecer al set preliminar seleccionado
0,BCPTWI25,Eliminada por no pertenecer al set preliminar seleccionado
0,BCREAS5,Eliminada por no pertenecer al set preliminar seleccionado
0,BCRES_S5,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTROG15,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTROG25,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRDA15,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRDA25,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRNJ15,Eliminada por no pertenecer al set preliminar seleccionado
0,EINJTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTRNJ25,Eliminada por no pertenecer al set preliminar seleccionado
0,EINJTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,COMBIN15,Eliminada por no pertenecer al set preliminar seleccionado
0,COMBTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,COMBIN25,Eliminada por no pertenecer al set preliminar seleccionado
0,COMBTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGES15,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGES25,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGDA15,Eliminada por no pertenecer al set preliminar seleccionado
0,PROGDA25,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTEPR15,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTETW15,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTEPR25,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTETW25,Eliminada por no pertenecer al set preliminar seleccionado
0,ARTHRT15,Eliminada por no pertenecer al set preliminar seleccionado
0,ARTHTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,ARTHRT25,Eliminada por no pertenecer al set preliminar seleccionado
0,ARTHTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED15,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED35,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW35,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED45,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW45,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED55,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW55,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED65,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW65,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED75,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW75,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED85,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW85,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHMED95,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHRTW95,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME105,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW105,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME115,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW115,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME125,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW125,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME135,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW135,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME145,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW145,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHME155,Eliminada por no pertenecer al set preliminar seleccionado
0,OTHTW155,Eliminada por no pertenecer al set preliminar seleccionado
0,ESTLSTV5,Eliminada por no pertenecer al set preliminar seleccionado
0,REDUHAR5,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTEOPO5,Eliminada por no pertenecer al set preliminar seleccionado
0,MENOSYM5,Eliminada por no pertenecer al set preliminar seleccionado
0,YOUNGLK5,Eliminada por no pertenecer al set preliminar seleccionado
0,HCPADVI5,Eliminada por no pertenecer al set preliminar seleccionado
0,FRNADVI5,Eliminada por no pertenecer al set preliminar seleccionado
0,IMPRMEM5,Eliminada por no pertenecer al set preliminar seleccionado
0,REGPERI5,Eliminada por no pertenecer al set preliminar seleccionado
0,HORMOTH5,Eliminada por no pertenecer al set preliminar seleccionado
0,DONTKNO5,Eliminada por no pertenecer al set preliminar seleccionado
0,HORMDAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,PRBBLEE5,Eliminada por no pertenecer al set preliminar seleccionado
0,HAVEPER5,Eliminada por no pertenecer al set preliminar seleccionado
0,LIKEFEL5,Eliminada por no pertenecer al set preliminar seleccionado
0,SIDEEFF5,Eliminada por no pertenecer al set preliminar seleccionado
0,CANCER5,Eliminada por no pertenecer al set preliminar seleccionado
0,ADVISTO5,Eliminada por no pertenecer al set preliminar seleccionado
0,EXPENSI5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOLIKE5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOREMEB5,Eliminada por no pertenecer al set preliminar seleccionado
0,DNTKNOW5,Eliminada por no pertenecer al set preliminar seleccionado
0,STOPOTH5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOREASO5,Eliminada por no pertenecer al set preliminar seleccionado
0,PAIN15,Eliminada por no pertenecer al set preliminar seleccionado
0,PAINTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,PAIN25,Eliminada por no pertenecer al set preliminar seleccionado
0,PAINTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,SLEEP15,Eliminada por no pertenecer al set preliminar seleccionado
0,SLEPTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,SLEEP25,Eliminada por no pertenecer al set preliminar seleccionado
0,SLEPTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTC15,Eliminada por no pertenecer al set preliminar seleccionado
0,OTCTW15,Eliminada por no pertenecer al set preliminar seleccionado
0,OTC25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTCTW25,Eliminada por no pertenecer al set preliminar seleccionado
0,OTC35,Eliminada por no pertenecer al set preliminar seleccionado
0,OTCTW35,Eliminada por no pertenecer al set preliminar seleccionado
0,OTC45,Eliminada por no pertenecer al set preliminar seleccionado
0,OTCTW45,Eliminada por no pertenecer al set preliminar seleccionado
0,ALCHL245,Eliminada por no pertenecer al set preliminar seleccionado
0,SOYPROT5,Eliminada por no pertenecer al set preliminar seleccionado
0,CEREACA5,Eliminada por no pertenecer al set preliminar seleccionado
0,BREADCA5,Eliminada por no pertenecer al set preliminar seleccionado
0,ORANGCA5,Eliminada por no pertenecer al set preliminar seleccionado
0,ANEMIA5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIABETE5,Eliminada por no pertenecer al set preliminar seleccionado
0,MIGRAIN5,Eliminada por no pertenecer al set preliminar seleccionado
0,STROKE5,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTEOAR5,Eliminada por no pertenecer al set preliminar seleccionado
0,THYROID5,Eliminada por no pertenecer al set preliminar seleccionado
0,HEARTAT5,Eliminada por no pertenecer al set preliminar seleccionado
0,ANGINA5,Eliminada por no pertenecer al set preliminar seleccionado
0,OSTEOPR5,Eliminada por no pertenecer al set preliminar seleccionado
0,CANCERS5,Eliminada por no pertenecer al set preliminar seleccionado
0,SITESPE5,Eliminada por no pertenecer al set preliminar seleccionado
0,TAMOXIF5,Eliminada por no pertenecer al set preliminar seleccionado
0,CHEMOTH5,Eliminada por no pertenecer al set preliminar seleccionado
0,BROKEBO5,Eliminada por no pertenecer al set preliminar seleccionado
0,BONES15,Eliminada por no pertenecer al set preliminar seleccionado
0,HAPPEN15,Eliminada por no pertenecer al set preliminar seleccionado
0,BONES25,Eliminada por no pertenecer al set preliminar seleccionado
0,HAPPEN25,Eliminada por no pertenecer al set preliminar seleccionado
0,BONES35,Eliminada por no pertenecer al set preliminar seleccionado
0,HAPPEN35,Eliminada por no pertenecer al set preliminar seleccionado
0,DANDC5,Eliminada por no pertenecer al set preliminar seleccionado
0,NUMDAND5,Eliminada por no pertenecer al set preliminar seleccionado
0,HYSTERE5,Eliminada por no pertenecer al set preliminar seleccionado
0,HYSTDAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,OOPHORE5,Eliminada por no pertenecer al set preliminar seleccionado
0,ONEOVAR5,Eliminada por no pertenecer al set preliminar seleccionado
0,ABLATIN5,Eliminada por no pertenecer al set preliminar seleccionado
0,UTERPRO5,Eliminada por no pertenecer al set preliminar seleccionado
0,THYRREM5,Eliminada por no pertenecer al set preliminar seleccionado
0,ENDO5,Eliminada por no pertenecer al set preliminar seleccionado
0,ENDODIF5,Eliminada por no pertenecer al set preliminar seleccionado
0,PELVCPN5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIFPELV5,Eliminada por no pertenecer al set preliminar seleccionado
0,PROLAPS5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIFPROL5,Eliminada por no pertenecer al set preliminar seleccionado
0,PELVCNC5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIFCANC5,Eliminada por no pertenecer al set preliminar seleccionado
0,ABBLEED5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIFBLED5,Eliminada por no pertenecer al set preliminar seleccionado
0,DIFFIBR5,Eliminada por no pertenecer al set preliminar seleccionado
0,PRVIDER5,Eliminada por no pertenecer al set preliminar seleccionado
0,PROFDEG5,Eliminada por no pertenecer al set preliminar seleccionado
0,SPECIFY5,Eliminada por no pertenecer al set preliminar seleccionado
0,PROVSPC5,Eliminada por no pertenecer al set preliminar seleccionado
0,SPECIAL5,Eliminada por no pertenecer al set preliminar seleccionado
0,PROVTIM5,Eliminada por no pertenecer al set preliminar seleccionado
0,BLEEDNG5,Eliminada por no pertenecer al set preliminar seleccionado
0,BLD3MON5,Eliminada por no pertenecer al set preliminar seleccionado
0,LMPDAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,DESCPER5,Eliminada por no pertenecer al set preliminar seleccionado
0,LENGCYL5,Eliminada por no pertenecer al set preliminar seleccionado
0,PRGNANT5,Eliminada por no pertenecer al set preliminar seleccionado
0,OUTCOME5,Eliminada por no pertenecer al set preliminar seleccionado
0,BRSTFEE5,Eliminada por no pertenecer al set preliminar seleccionado
0,QLTYLIF5,Eliminada por no pertenecer al set preliminar seleccionado
0,LISTEN5,Eliminada por no pertenecer al set preliminar seleccionado
0,TAKETOM5,Eliminada por no pertenecer al set preliminar seleccionado
0,CONFIDE5,Eliminada por no pertenecer al set preliminar seleccionado
0,HELPSIC5,Eliminada por no pertenecer al set preliminar seleccionado
0,CONTROL5,Eliminada por no pertenecer al set preliminar seleccionado
0,ABILITY5,Eliminada por no pertenecer al set preliminar seleccionado
0,YOURWAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,PILING5,Eliminada por no pertenecer al set preliminar seleccionado
0,BOTHER5,Eliminada por no pertenecer al set preliminar seleccionado
0,APPETIT5,Eliminada por no pertenecer al set preliminar seleccionado
0,BLUES5,Eliminada por no pertenecer al set preliminar seleccionado
0,GOOD5,Eliminada por no pertenecer al set preliminar seleccionado
0,KEEPMIN5,Eliminada por no pertenecer al set preliminar seleccionado
0,DEPRESS5,Eliminada por no pertenecer al set preliminar seleccionado
0,EFFORT5,Eliminada por no pertenecer al set preliminar seleccionado
0,HOPEFUL5,Eliminada por no pertenecer al set preliminar seleccionado
0,FAILURE5,Eliminada por no pertenecer al set preliminar seleccionado
0,FEARFUL5,Eliminada por no pertenecer al set preliminar seleccionado
0,RESTLES5,Eliminada por no pertenecer al set preliminar seleccionado
0,HAPPY5,Eliminada por no pertenecer al set preliminar seleccionado
0,TALKLES5,Eliminada por no pertenecer al set preliminar seleccionado
0,LONELY5,Eliminada por no pertenecer al set preliminar seleccionado
0,UNFRNDL5,Eliminada por no pertenecer al set preliminar seleccionado
0,ENJOY5,Eliminada por no pertenecer al set preliminar seleccionado
0,CRYING5,Eliminada por no pertenecer al set preliminar seleccionado
0,SAD5,Eliminada por no pertenecer al set preliminar seleccionado
0,DISLIKE5,Eliminada por no pertenecer al set preliminar seleccionado
0,GETGOIN5,Eliminada por no pertenecer al set preliminar seleccionado
0,CHNGJOB5,Eliminada por no pertenecer al set preliminar seleccionado
0,JOB5,Eliminada por no pertenecer al set preliminar seleccionado
0,CHANGHR5,Eliminada por no pertenecer al set preliminar seleccionado
0,STRTIM15,Eliminada por no pertenecer al set preliminar seleccionado
0,STPTIM15,Eliminada por no pertenecer al set preliminar seleccionado
0,ROTAT15,Eliminada por no pertenecer al set preliminar seleccionado
0,STRTIM25,Eliminada por no pertenecer al set preliminar seleccionado
0,STPTIM25,Eliminada por no pertenecer al set preliminar seleccionado
0,ROTAT25,Eliminada por no pertenecer al set preliminar seleccionado
0,STRTIM35,Eliminada por no pertenecer al set preliminar seleccionado
0,STPTIM35,Eliminada por no pertenecer al set preliminar seleccionado
0,ROTAT35,Eliminada por no pertenecer al set preliminar seleccionado
0,HOURSPA5,Eliminada por no pertenecer al set preliminar seleccionado
0,VOLUNTE5,Eliminada por no pertenecer al set preliminar seleccionado
0,VLNTHR15,Eliminada por no pertenecer al set preliminar seleccionado
0,VLNTHR25,Eliminada por no pertenecer al set preliminar seleccionado
0,VLNTHR35,Eliminada por no pertenecer al set preliminar seleccionado
0,MARITAL5,Eliminada por no pertenecer al set preliminar seleccionado
0,CHGHHLD5,Eliminada por no pertenecer al set preliminar seleccionado
0,HOUSEHL5,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT15,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX15,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE15,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT25,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX25,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE25,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT35,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX35,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE35,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT45,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX45,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE45,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT55,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX55,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE55,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT65,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX65,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE65,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT75,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX75,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE75,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT85,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX85,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE85,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT95,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX95,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE95,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT105,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX105,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE105,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT115,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX115,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE115,Eliminada por no pertenecer al set preliminar seleccionado
0,RELAT125,Eliminada por no pertenecer al set preliminar seleccionado
0,SEX125,Eliminada por no pertenecer al set preliminar seleccionado
0,AGE125,Eliminada por no pertenecer al set preliminar seleccionado
0,FIBROID5,Eliminada por no pertenecer al set preliminar seleccionado
0,FORMFLG5,Eliminada por no pertenecer al set preliminar seleccionado
0,SAADAY5,Eliminada por no pertenecer al set preliminar seleccionado
0,FORMSAA5,Eliminada por no pertenecer al set preliminar seleccionado
0,LANGSAA5,Eliminada por no pertenecer al set preliminar seleccionado
0,OVERHLT5,Eliminada por no pertenecer al set preliminar seleccionado
0,HOSPSTA5,Eliminada por no pertenecer al set preliminar seleccionado
0,MDTALK5,Eliminada por no pertenecer al set preliminar seleccionado
0,PAPSMEA5,Eliminada por no pertenecer al set preliminar seleccionado
0,BRSTEXA5,Eliminada por no pertenecer al set preliminar seleccionado
0,MAMOGRA5,Eliminada por no pertenecer al set preliminar seleccionado
0,HLTHSER5,Eliminada por no pertenecer al set preliminar seleccionado
0,INSURAN5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOTAFFR5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOTRANS5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOPROVI5,Eliminada por no pertenecer al set preliminar seleccionado
0,TOOBUSY5,Eliminada por no pertenecer al set preliminar seleccionado
0,NOTRUST5,Eliminada por no pertenecer al set preliminar seleccionado
0,BETTROF5,Eliminada por no pertenecer al set preliminar seleccionado
0,FAILOTH5,Eliminada por no pertenecer al set preliminar seleccionado
0,SMOKERE5,Eliminada por no pertenecer al set preliminar seleccionado
0,AVCIGDA5,Eliminada por no pertenecer al set preliminar seleccionado
0,PEP5,Eliminada por no pertenecer al set preliminar seleccionado
0,CARING5,Eliminada por no pertenecer al set preliminar seleccionado
0,MEALS5,Eliminada por no pertenecer al set preliminar seleccionado
0,ROUTNCH5,Eliminada por no pertenecer al set preliminar seleccionado
0,MODERAT5,Eliminada por no pertenecer al set preliminar seleccionado
0,VIGOROU5,Eliminada por no pertenecer al set preliminar seleccionado
0,PHYSACT5,Eliminada por no pertenecer al set preliminar seleccionado
0,WATCHTV5,Eliminada por no pertenecer al set preliminar seleccionado
0,WALKBIK5,Eliminada por no pertenecer al set preliminar seleccionado
0,SWEATPA5,Eliminada por no pertenecer al set preliminar seleccionado
0,SPORTS5,Eliminada por no pertenecer al set preliminar seleccionado
0,SPOREX15,Eliminada por no pertenecer al set preliminar seleccionado
0,RATEIN15,Eliminada por no pertenecer al set preliminar seleccionado
0,MTHSAC15,Eliminada por no pertenecer al set preliminar seleccionado
0,HRSACT15,Eliminada por no pertenecer al set preliminar seleccionado
